"Iteration";"Year";"Type";"N"
"1";"198";"Simulation";"143.721867955651"
"1";"199";"Simulation";"129.346757487072"
"1";"200";"Simulation";"136.799937436287"
"1";"201";"Simulation";"126.068376616999"
"2";"1";"Simulation";"562"
"2";"2";"Simulation";"540.471904636304"
"2";"3";"Simulation";"533.306455561207"
"2";"4";"Simulation";"514.987711319712"
"2";"5";"Simulation";"510.144219243428"
"2";"6";"Simulation";"493.739541109571"
"2";"7";"Simulation";"488.887836903721"
"2";"8";"Simulation";"487.251806311792"
"2";"9";"Simulation";"484.310629671292"
"2";"10";"Simulation";"482.847759932122"
"2";"11";"Simulation";"470.264369663059"
"2";"12";"Simulation";"462.171236743873"
"2";"13";"Simulation";"457.616009127884"
"2";"14";"Simulation";"454.719446976993"
"2";"15";"Simulation";"443.108809714979"
"2";"16";"Simulation";"446.05795214284"
"2";"17";"Simulation";"439.885582661056"
"2";"18";"Simulation";"438.713589626394"
"2";"19";"Simulation";"437.919141550348"
"2";"20";"Simulation";"437.124033601887"
"2";"21";"Simulation";"421.149234305895"
"2";"22";"Simulation";"417.569239829688"
"2";"23";"Simulation";"406.683184613295"
"2";"24";"Simulation";"404.055741967247"
"2";"25";"Simulation";"397.579464121452"
"2";"26";"Simulation";"384.971777330078"
"2";"27";"Simulation";"384.538304228991"
"2";"28";"Simulation";"389.148480351468"
"2";"29";"Simulation";"382.001359102154"
"2";"30";"Simulation";"368.745070921457"
"2";"31";"Simulation";"367.389642044851"
"2";"32";"Simulation";"357.673636461354"
"2";"33";"Simulation";"359.51031025804"
"2";"34";"Simulation";"350.862394962117"
"2";"35";"Simulation";"354.087605102726"
"2";"36";"Simulation";"334.390789213556"
"2";"37";"Simulation";"337.883643313555"
"2";"38";"Simulation";"337.100123008182"
"2";"39";"Simulation";"325.914972909235"
"2";"40";"Simulation";"328.255585433979"
"2";"41";"Simulation";"326.300004600016"
"2";"42";"Simulation";"323.420967031096"
"2";"43";"Simulation";"337.785338011172"
"2";"44";"Simulation";"329.979536816434"
"2";"45";"Simulation";"327.438340634507"
"2";"46";"Simulation";"323.912840134256"
"2";"47";"Simulation";"309.984296645378"
"2";"48";"Simulation";"306.47145948459"
"2";"49";"Simulation";"300.225981609652"
"2";"50";"Simulation";"306.602282340246"
"2";"51";"Simulation";"305.697636463449"
"2";"52";"Simulation";"301.712602865249"
"2";"53";"Simulation";"303.098931613462"
"2";"54";"Simulation";"298.294091221318"
"2";"55";"Simulation";"296.629087839231"
"2";"56";"Simulation";"301.448676808277"
"2";"57";"Simulation";"295.528885163763"
"2";"58";"Simulation";"292.070261305569"
"2";"59";"Simulation";"276.530773480032"
"2";"60";"Simulation";"283.198453122732"
"2";"61";"Simulation";"274.924839556793"
"2";"62";"Simulation";"274.411333041298"
"2";"63";"Simulation";"275.383991724511"
"2";"64";"Simulation";"274.053487217658"
"2";"65";"Simulation";"273.773038655849"
"2";"66";"Simulation";"261.814757207206"
"2";"67";"Simulation";"266.923780392364"
"2";"68";"Simulation";"256.216183336181"
"2";"69";"Simulation";"258.119767202493"
"2";"70";"Simulation";"259.332985353517"
"2";"71";"Simulation";"253.875822679327"
"2";"72";"Simulation";"252.996516208917"
"2";"73";"Simulation";"242.646010211668"
"2";"74";"Simulation";"244.206040867708"
"2";"75";"Simulation";"236.619861806445"
"2";"76";"Simulation";"237.078812712517"
"2";"77";"Simulation";"226.219599911856"
"2";"78";"Simulation";"232.411956246903"
"2";"79";"Simulation";"218.504925818851"
"2";"80";"Simulation";"220.040885536531"
"2";"81";"Simulation";"222.972666474421"
"2";"82";"Simulation";"223.148154178756"
"2";"83";"Simulation";"218.465155054054"
"2";"84";"Simulation";"210.694261134776"
"2";"85";"Simulation";"212.683184156242"
"2";"86";"Simulation";"197.925479697719"
"2";"87";"Simulation";"202.036475950646"
"2";"88";"Simulation";"187.423255085587"
"2";"89";"Simulation";"192.692660620848"
"2";"90";"Simulation";"197.955997394887"
"2";"91";"Simulation";"197.326837831793"
"2";"92";"Simulation";"195.296230072015"
"2";"93";"Simulation";"202.54251419749"
"2";"94";"Simulation";"193.662499067201"
"2";"95";"Simulation";"195.297773980951"
"2";"96";"Simulation";"191.41648394802"
"2";"97";"Simulation";"185.494514993677"
"2";"98";"Simulation";"194.37070806555"
"2";"99";"Simulation";"195.425761835306"
"2";"100";"Simulation";"192.201521535656"
"2";"101";"Simulation";"191.513580302943"
"2";"102";"Simulation";"183.489772456256"
"2";"103";"Simulation";"192.859498323379"
"2";"104";"Simulation";"174.451867643431"
"2";"105";"Simulation";"169.42082087646"
"2";"106";"Simulation";"176.628156215198"
"2";"107";"Simulation";"190.814257740104"
"2";"108";"Simulation";"187.969657694761"
"2";"109";"Simulation";"184.619548547496"
"2";"110";"Simulation";"182.726053223123"
"2";"111";"Simulation";"179.459613957206"
"2";"112";"Simulation";"172.301058762492"
"2";"113";"Simulation";"170.128873838602"
"2";"114";"Simulation";"157.5845772077"
"2";"115";"Simulation";"171.49868880202"
"2";"116";"Simulation";"165.323136671177"
"2";"117";"Simulation";"168.865596788734"
"2";"118";"Simulation";"169.601767272138"
"2";"119";"Simulation";"166.698207850351"
"2";"120";"Simulation";"158.049909663731"
"2";"121";"Simulation";"164.583012952666"
"2";"122";"Simulation";"165.473891699494"
"2";"123";"Simulation";"173.101574405679"
"2";"124";"Simulation";"178.879209917138"
"2";"125";"Simulation";"183.16405151976"
"2";"126";"Simulation";"186.176806231523"
"2";"127";"Simulation";"189.693461480711"
"2";"128";"Simulation";"180.862937511005"
"2";"129";"Simulation";"174.316980031042"
"2";"130";"Simulation";"167.541204176248"
"2";"131";"Simulation";"153.721409672641"
"2";"132";"Simulation";"159.03579449989"
"2";"133";"Simulation";"164.63212314436"
"2";"134";"Simulation";"159.072585587999"
"2";"135";"Simulation";"157.409730480533"
"2";"136";"Simulation";"158.290782870301"
"2";"137";"Simulation";"155.728918700381"
"2";"138";"Simulation";"160.172451814513"
"2";"139";"Simulation";"158.653165078434"
"2";"140";"Simulation";"155.992192576911"
"2";"141";"Simulation";"153.828114437264"
"2";"142";"Simulation";"143.267327143919"
"2";"143";"Simulation";"144.508710285736"
"2";"144";"Simulation";"137.788430111859"
"2";"145";"Simulation";"136.588034771002"
"2";"146";"Simulation";"141.718145146806"
"2";"147";"Simulation";"133.386298800248"
"2";"148";"Simulation";"139.296760664752"
"2";"149";"Simulation";"146.861851340671"
"2";"150";"Simulation";"148.603133523645"
"2";"151";"Simulation";"152.2930027263"
"2";"152";"Simulation";"142.488301706214"
"2";"153";"Simulation";"145.985518366518"
"2";"154";"Simulation";"145.537923745827"
"2";"155";"Simulation";"139.165498535247"
"2";"156";"Simulation";"140.790322056751"
"2";"157";"Simulation";"146.902124682403"
"2";"158";"Simulation";"136.384351068293"
"2";"159";"Simulation";"134.640980418203"
"2";"160";"Simulation";"148.495936568752"
"2";"161";"Simulation";"152.424955136124"
"2";"162";"Simulation";"154.52867674466"
"2";"163";"Simulation";"151.525396410187"
"2";"164";"Simulation";"154.100766554255"
"2";"165";"Simulation";"155.307925838628"
"2";"166";"Simulation";"146.185610813743"
"2";"167";"Simulation";"146.011771630568"
"2";"168";"Simulation";"147.772008219982"
"2";"169";"Simulation";"159.864902189916"
"2";"170";"Simulation";"162.645037664787"
"2";"171";"Simulation";"160.427581829944"
"2";"172";"Simulation";"169.054518693552"
"2";"173";"Simulation";"167.911742297575"
"2";"174";"Simulation";"159.698456860363"
"2";"175";"Simulation";"169.997571463922"
"2";"176";"Simulation";"167.083533479047"
"2";"177";"Simulation";"154.68637274375"
"2";"178";"Simulation";"164.349654146768"
"2";"179";"Simulation";"160.896990166197"
"2";"180";"Simulation";"162.035914545259"
"2";"181";"Simulation";"158.088011088378"
"2";"182";"Simulation";"152.331995319781"
"2";"183";"Simulation";"149.042990504229"
"2";"184";"Simulation";"151.010423992884"
"2";"185";"Simulation";"149.380121393004"
"2";"186";"Simulation";"152.944550342157"
"2";"187";"Simulation";"156.701043006562"
"2";"188";"Simulation";"161.507966086399"
"2";"189";"Simulation";"171.520888825567"
"2";"190";"Simulation";"166.970100820178"
"2";"191";"Simulation";"164.604914279265"
"2";"192";"Simulation";"162.957033273225"
"2";"193";"Simulation";"154.6838191354"
"2";"194";"Simulation";"153.927647574169"
"2";"195";"Simulation";"153.325957945295"
"2";"196";"Simulation";"159.946999922459"
"2";"197";"Simulation";"168.832170728659"
"2";"198";"Simulation";"172.968366967776"
"2";"199";"Simulation";"168.699661475757"
"2";"200";"Simulation";"154.688197720992"
"2";"201";"Simulation";"152.548754369261"
"3";"1";"Simulation";"582"
"3";"2";"Simulation";"532.541021012515"
"3";"3";"Simulation";"519.132015456911"
"3";"4";"Simulation";"512.115454124003"
"3";"5";"Simulation";"502.940528260001"
"3";"6";"Simulation";"485.667979129519"
"3";"7";"Simulation";"488.217847673249"
"3";"8";"Simulation";"476.611576972971"
"3";"9";"Simulation";"461.725921738572"
"3";"10";"Simulation";"454.612051462841"
"3";"11";"Simulation";"432.92661431595"
"3";"12";"Simulation";"424.861024358256"
"3";"13";"Simulation";"416.599084542547"
"3";"14";"Simulation";"415.714126582871"
"3";"15";"Simulation";"418.382666548836"
"3";"16";"Simulation";"412.896766398124"
"3";"17";"Simulation";"398.655232779269"
"3";"18";"Simulation";"385.524418017566"
"3";"19";"Simulation";"393.601455994701"
"3";"20";"Simulation";"389.113393155251"
"3";"21";"Simulation";"388.043008025209"
"3";"22";"Simulation";"386.992487267659"
"3";"23";"Simulation";"379.97538385369"
"3";"24";"Simulation";"367.274502579634"
"3";"25";"Simulation";"364.623698974602"
"3";"26";"Simulation";"351.282643548697"
"3";"27";"Simulation";"354.018926933433"
"3";"28";"Simulation";"349.627041908023"
"3";"29";"Simulation";"353.14725543154"
"3";"30";"Simulation";"345.168741002551"
"3";"31";"Simulation";"341.102860489766"
"3";"32";"Simulation";"334.941682790011"
"3";"33";"Simulation";"335.52018525342"
"3";"34";"Simulation";"328.739942170019"
"3";"35";"Simulation";"338.440163252431"
"3";"36";"Simulation";"335.047010258519"
"3";"37";"Simulation";"329.811327265034"
"3";"38";"Simulation";"325.581611965871"
"3";"39";"Simulation";"323.486272472887"
"3";"40";"Simulation";"329.542963536987"
"3";"41";"Simulation";"329.381955224019"
"3";"42";"Simulation";"327.765989068386"
"3";"43";"Simulation";"310.98016978236"
"3";"44";"Simulation";"321.159953858296"
"3";"45";"Simulation";"311.515571570915"
"3";"46";"Simulation";"313.110212808529"
"3";"47";"Simulation";"310.418716738218"
"3";"48";"Simulation";"301.021253466792"
"3";"49";"Simulation";"299.884644381844"
"3";"50";"Simulation";"303.687097407768"
"3";"51";"Simulation";"294.917533047078"
"3";"52";"Simulation";"284.080337590235"
"3";"53";"Simulation";"279.841615773309"
"3";"54";"Simulation";"284.421730004999"
"3";"55";"Simulation";"275.314865221262"
"3";"56";"Simulation";"275.072454692609"
"3";"57";"Simulation";"268.316090103089"
"3";"58";"Simulation";"263.717362671527"
"3";"59";"Simulation";"263.400636778482"
"3";"60";"Simulation";"260.927600196221"
"3";"61";"Simulation";"263.245933659684"
"3";"62";"Simulation";"266.786534279754"
"3";"63";"Simulation";"262.179466994132"
"3";"64";"Simulation";"258.71597184507"
"3";"65";"Simulation";"252.405888975147"
"3";"66";"Simulation";"248.447348750034"
"3";"67";"Simulation";"253.890722120079"
"3";"68";"Simulation";"243.529346422158"
"3";"69";"Simulation";"253.85749583713"
"3";"70";"Simulation";"240.898517220703"
"3";"71";"Simulation";"244.819350740573"
"3";"72";"Simulation";"249.660427311833"
"3";"73";"Simulation";"252.252586527284"
"3";"74";"Simulation";"250.767857155941"
"3";"75";"Simulation";"257.687377273261"
"3";"76";"Simulation";"249.577213889917"
"3";"77";"Simulation";"244.03180778124"
"3";"78";"Simulation";"240.926247079181"
"3";"79";"Simulation";"247.529817128443"
"3";"80";"Simulation";"236.547085843711"
"3";"81";"Simulation";"230.544193463762"
"3";"82";"Simulation";"229.846810820195"
"3";"83";"Simulation";"226.758750887532"
"3";"84";"Simulation";"227.78207991445"
"3";"85";"Simulation";"226.862596974696"
"3";"86";"Simulation";"227.056979441656"
"3";"87";"Simulation";"224.06568889977"
"3";"88";"Simulation";"228.723859411056"
"3";"89";"Simulation";"223.532381844361"
"3";"90";"Simulation";"228.002036029478"
"3";"91";"Simulation";"223.582367948608"
"3";"92";"Simulation";"226.270258216783"
"3";"93";"Simulation";"230.934599383128"
"3";"94";"Simulation";"229.311715447044"
"3";"95";"Simulation";"233.439001309548"
"3";"96";"Simulation";"223.745775843794"
"3";"97";"Simulation";"213.317583271279"
"3";"98";"Simulation";"214.603723692654"
"3";"99";"Simulation";"221.597232043406"
"3";"100";"Simulation";"208.522995784663"
"3";"101";"Simulation";"213.845337155776"
"3";"102";"Simulation";"224.609967952698"
"3";"103";"Simulation";"215.547910414443"
"3";"104";"Simulation";"213.915701868188"
"3";"105";"Simulation";"221.962439900373"
"3";"106";"Simulation";"220.177246508971"
"3";"107";"Simulation";"210.928776457846"
"3";"108";"Simulation";"206.628744944648"
"3";"109";"Simulation";"217.008622804793"
"3";"110";"Simulation";"206.534348187918"
"3";"111";"Simulation";"202.211967586998"
"3";"112";"Simulation";"198.178805271275"
"3";"113";"Simulation";"198.517233757459"
"3";"114";"Simulation";"190.397560119416"
"3";"115";"Simulation";"191.971434394627"
"3";"116";"Simulation";"200.25079815008"
"3";"117";"Simulation";"198.494768440625"
"3";"118";"Simulation";"190.581584691337"
"3";"119";"Simulation";"175.074329326598"
"3";"120";"Simulation";"175.115742715268"
"3";"121";"Simulation";"160.260373113954"
"3";"122";"Simulation";"169.141769203118"
"3";"123";"Simulation";"171.581079714083"
"3";"124";"Simulation";"157.204275961635"
"3";"125";"Simulation";"159.986227949719"
"3";"126";"Simulation";"169.783224581208"
"3";"127";"Simulation";"161.316980902163"
"3";"128";"Simulation";"163.525462427891"
"3";"129";"Simulation";"160.319643091757"
"3";"130";"Simulation";"161.015422303986"
"3";"131";"Simulation";"161.97483484797"
"3";"132";"Simulation";"162.2949248065"
"3";"133";"Simulation";"142.422523392041"
"3";"134";"Simulation";"144.035245215564"
"3";"135";"Simulation";"146.380616543053"
"3";"136";"Simulation";"137.171910760383"
"3";"137";"Simulation";"144.822839305102"
"3";"138";"Simulation";"130.726521776132"
"3";"139";"Simulation";"123.14509444967"
"3";"140";"Simulation";"117.579964314933"
"3";"141";"Simulation";"126.051397745297"
"3";"142";"Simulation";"118.825687067569"
"3";"143";"Simulation";"119.760742614986"
"3";"144";"Simulation";"119.988096120716"
"3";"145";"Simulation";"121.760301887068"
"3";"146";"Simulation";"118.78555394404"
"3";"147";"Simulation";"128.269367978239"
"3";"148";"Simulation";"121.087922393473"
"3";"149";"Simulation";"120.003346323954"
"3";"150";"Simulation";"127.62346731073"
"3";"151";"Simulation";"132.302479533789"
"3";"152";"Simulation";"124.75317985572"
"3";"153";"Simulation";"126.370043994049"
"3";"154";"Simulation";"131.557608072519"
"3";"155";"Simulation";"121.616063777456"
"3";"156";"Simulation";"120.632398870548"
"3";"157";"Simulation";"116.692662818566"
"3";"158";"Simulation";"127.71898059165"
"3";"159";"Simulation";"123.090173595134"
"3";"160";"Simulation";"120.584039090238"
"3";"161";"Simulation";"129.109025820208"
"3";"162";"Simulation";"132.92007084491"
"3";"163";"Simulation";"125.476077710952"
"3";"164";"Simulation";"127.52182652953"
"3";"165";"Simulation";"131.409799811809"
"3";"166";"Simulation";"127.574221701572"
"3";"167";"Simulation";"127.855790560414"
"3";"168";"Simulation";"129.299983484417"
"3";"169";"Simulation";"120.9215120331"
"3";"170";"Simulation";"115.952683331514"
"3";"171";"Simulation";"118.259973089477"
"3";"172";"Simulation";"128.224573475392"
"3";"173";"Simulation";"126.515015360943"
"3";"174";"Simulation";"121.976015649191"
"3";"175";"Simulation";"125.072186641853"
"3";"176";"Simulation";"125.173366113"
"3";"177";"Simulation";"137.70146036436"
"3";"178";"Simulation";"136.234760143338"
"3";"179";"Simulation";"139.595740212475"
"3";"180";"Simulation";"137.903162761894"
"3";"181";"Simulation";"147.342494236845"
"3";"182";"Simulation";"138.862089640928"
"3";"183";"Simulation";"129.592822102998"
"3";"184";"Simulation";"133.388666731128"
"3";"185";"Simulation";"138.880572295072"
"3";"186";"Simulation";"128.405323112265"
"3";"187";"Simulation";"126.325242232811"
"3";"188";"Simulation";"124.432979676679"
"3";"189";"Simulation";"132.903790859141"
"3";"190";"Simulation";"131.006165700415"
"3";"191";"Simulation";"143.62730851551"
"3";"192";"Simulation";"146.317967339364"
"3";"193";"Simulation";"155.21991291343"
"3";"194";"Simulation";"146.307872926974"
"3";"195";"Simulation";"139.216218191219"
"3";"196";"Simulation";"139.980904130399"
"3";"197";"Simulation";"141.260777199849"
"3";"198";"Simulation";"143.0279831913"
"3";"199";"Simulation";"131.632739760807"
"3";"200";"Simulation";"135.793464774746"
"3";"201";"Simulation";"140.572405460704"
"4";"1";"Simulation";"563"
"4";"2";"Simulation";"488.146389436477"
"4";"3";"Simulation";"470.236426415057"
"4";"4";"Simulation";"455.731153093999"
"4";"5";"Simulation";"442.188592333969"
"4";"6";"Simulation";"447.799878466928"
"4";"7";"Simulation";"442.347360107302"
"4";"8";"Simulation";"446.654815947506"
"4";"9";"Simulation";"442.357735146495"
"4";"10";"Simulation";"439.460177529941"
"4";"11";"Simulation";"443.248838003702"
"4";"12";"Simulation";"439.260542372914"
"4";"13";"Simulation";"422.099349715755"
"4";"14";"Simulation";"419.851896276705"
"4";"15";"Simulation";"428.307029916959"
"4";"16";"Simulation";"419.424575390569"
"4";"17";"Simulation";"410.909912486532"
"4";"18";"Simulation";"400.187581559308"
"4";"19";"Simulation";"393.663019671924"
"4";"20";"Simulation";"389.612928668093"
"4";"21";"Simulation";"377.80733950001"
"4";"22";"Simulation";"377.929750867624"
"4";"23";"Simulation";"371.191240857925"
"4";"24";"Simulation";"372.563028756389"
"4";"25";"Simulation";"362.748260851749"
"4";"26";"Simulation";"361.559280605671"
"4";"27";"Simulation";"352.343386329442"
"4";"28";"Simulation";"342.252771909755"
"4";"29";"Simulation";"341.150603961641"
"4";"30";"Simulation";"344.048792695208"
"4";"31";"Simulation";"338.841089391055"
"4";"32";"Simulation";"330.698694317019"
"4";"33";"Simulation";"333.355693507771"
"4";"34";"Simulation";"329.892591719963"
"4";"35";"Simulation";"321.091321376998"
"4";"36";"Simulation";"324.293736956366"
"4";"37";"Simulation";"309.263773853891"
"4";"38";"Simulation";"302.032754910456"
"4";"39";"Simulation";"303.886013577285"
"4";"40";"Simulation";"311.061002624486"
"4";"41";"Simulation";"300.11345080969"
"4";"42";"Simulation";"289.78600989595"
"4";"43";"Simulation";"279.02123188749"
"4";"44";"Simulation";"271.98450859085"
"4";"45";"Simulation";"273.113794947721"
"4";"46";"Simulation";"269.880901477143"
"4";"47";"Simulation";"271.910161100471"
"4";"48";"Simulation";"286.370630231653"
"4";"49";"Simulation";"287.819084261157"
"4";"50";"Simulation";"286.343556162955"
"4";"51";"Simulation";"283.688855262913"
"4";"52";"Simulation";"280.886793621114"
"4";"53";"Simulation";"276.928119147705"
"4";"54";"Simulation";"264.829661993737"
"4";"55";"Simulation";"276.271318974106"
"4";"56";"Simulation";"270.283878435829"
"4";"57";"Simulation";"266.355905931141"
"4";"58";"Simulation";"268.201644410495"
"4";"59";"Simulation";"260.527781979943"
"4";"60";"Simulation";"259.817645242042"
"4";"61";"Simulation";"256.079753901056"
"4";"62";"Simulation";"247.602951840126"
